Check Size NLON NLAT TIME VERSION
2.25043e+07 8 4 2 0.38152 0
2.25043e+07 8 4 2 0.386943 0
2.25043e+07 8 4 2 0.387147 0
2.25043e+07 8 4 2 0.387606 0
2.25043e+07 8 4 2 0.382662 0
2.25043e+07 8 4 2 0.389246 0
5.11059e+08 8 4 2 83.4933 1
5.11059e+08 8 4 2 83.8702 1
5.11059e+08 8 4 2 83.6408 1
5.11059e+08 8 4 2 83.6576 1
5.11059e+08 8 4 2 83.7748 1
5.11059e+08 8 4 2 83.566 1
5.11059e+08 8 4 2 83.8151 1
5.11059e+08 8 4 2 83.2055 1
5.11059e+08 8 4 2 83.5246 1
5.11059e+08 8 4 2 83.7532 1
5.11059e+08 8 4 2 83.6603 1
5.11059e+08 8 4 2 83.6596 1
5.11059e+08 8 4 2 83.8052 1
5.11059e+08 8 4 2 83.5477 1
5.11059e+08 8 4 2 83.7616 1
5.11059e+08 8 4 2 83.6343 1
5.11059e+08 8 4 2 83.3906 1
2.25043e+07 10 5 2 0.385347 0
2.25043e+07 10 5 2 0.379089 0
2.25043e+07 10 5 2 0.381583 0
2.25043e+07 10 5 2 0.376512 0
2.25043e+07 10 5 2 0.378682 0
2.25043e+07 10 5 2 0.381631 0
2.25043e+07 10 5 2 0.383855 0
2.25043e+07 10 5 2 0.376468 0
2.25043e+07 10 5 2 0.38095 0
2.25043e+07 10 5 2 0.376774 0
2.25043e+07 10 5 2 0.381078 0
2.25043e+07 10 5 2 0.378239 0
2.25043e+07 10 5 2 0.383235 0
2.25043e+07 10 5 2 0.381997 0
2.25043e+07 10 5 2 0.379797 0
2.25043e+07 10 5 2 0.372984 0
2.25043e+07 10 5 2 0.377855 0
2.25043e+07 10 5 2 0.381312 0
2.25043e+07 10 5 2 0.376688 0
2.25043e+07 10 5 2 0.382903 0
2.25043e+07 10 5 2 0.376563 0
2.25043e+07 10 5 2 0.384202 0
2.25043e+07 10 5 2 0.382071 0
2.25043e+07 10 5 2 0.383574 0
2.25043e+07 10 5 2 0.374041 0
2.25043e+07 10 5 2 0.380415 0
2.25043e+07 10 5 2 0.384307 0
2.25043e+07 10 5 2 0.383098 0
2.25043e+07 10 5 2 0.382229 0
2.25043e+07 10 5 2 0.381327 0
2.25043e+07 10 5 2 0.382762 0
2.25043e+07 10 5 2 0.374439 0
2.25043e+07 10 5 2 0.378312 0
5.11059e+08 10 5 2 70.6743 1
5.11059e+08 10 5 2 70.5583 1
5.11059e+08 10 5 2 70.5731 1
5.11059e+08 10 5 2 70.7716 1
5.11059e+08 10 5 2 70.4622 1
