Version Checksum Elapsed_time grid_size N_gangs vec_length
 2 592956 14.3108 6144 72 128
 3 592956 12.777 6144 72 128
 1 592956 14.5459 6144 72 128
 2 592956 12.759 6144 72 128
 3 592956 15.0543 6144 72 128
 1 592956 12.8298 6144 72 128
 2 592956 12.7631 6144 72 128
 3 592956 12.8383 6144 72 128
 1 592956 12.8694 6144 72 128
 2 592956 12.7124 6144 72 128
 3 592956 12.9496 6144 72 128
 1 592956 13.3704 6144 72 128
 2 592956 12.8879 6144 72 128
 3 592956 12.6229 6144 72 128
 1 592956 12.8502 6144 72 128
 2 592956 12.5436 6144 72 128
 3 592956 12.822 6144 72 128
 1 592956 15.0856 6144 72 128
 2 592956 12.7794 6144 72 128
 3 592956 13.1379 6144 72 128
 1 592956 13.5406 6144 72 128
 2 592956 12.5762 6144 72 128
 3 592956 14.1112 6144 72 128
 1 592956 12.8468 6144 72 128
 2 592956 15.4721 6144 72 128
 3 592956 12.8125 6144 72 128
 1 695899 14.4885 6656 84 128
 2 695899 17.6456 6656 84 128
 3 695899 14.4502 6656 84 128
 1 695899 14.7654 6656 84 128
 2 695899 14.5511 6656 84 128
 3 695899 15.3692 6656 84 128
 1 695899 14.4695 6656 84 128
 2 695899 14.832 6656 84 128
 3 695899 26.3007 6656 84 128
 1 695899 14.4617 6656 84 128
 2 695899 14.5341 6656 84 128
 3 695899 14.4315 6656 84 128
 1 695899 21.2469 6656 84 128
 2 695899 14.484 6656 84 128
 3 695899 16.7472 6656 84 128
 1 695899 14.3624 6656 84 128
 2 695899 14.5086 6656 84 128
 3 695899 38.5301 6656 84 128
 1 695899 14.4821 6656 84 128
 2 695899 20.8977 6656 84 128
 3 695899 17.4567 6656 84 128
 1 695899 17.5507 6656 84 128
 2 695899 16.354 6656 84 128
 3 695899 14.4055 6656 84 128
 1 695899 15.5309 6656 84 128
 2 695899 29.7531 6656 84 128
 3 695899 33.358 6656 84 128
 1 807079 18.9347 7168 98 128
 2 807079 29.8988 7168 98 128
 3 807079 19.5644 7168 98 128
 1 807079 16.4035 7168 98 128
 2 807079 16.0994 7168 98 128
 3 807079 35.8271 7168 98 128
 1 807079 19.5087 7168 98 128
 2 807079 29.2341 7168 98 128
 3 807079 37.0071 7168 98 128
 1 807079 42.0091 7168 98 128
 2 807079 37.7692 7168 98 128
 3 807079 46.9616 7168 98 128
 1 807079 64.8566 7168 98 128
 2 807079 36.5771 7168 98 128
 3 807079 37.4472 7168 98 128
 1 807079 42.7914 7168 98 128
 2 807079 37.9623 7168 98 128
 3 807079 38.2784 7168 98 128
 1 807079 41.1323 7168 98 128
 2 807079 39.1118 7168 98 128
 3 807079 47.0571 7168 98 128
 1 807079 43.3047 7168 98 128
 2 807079 40.5238 7168 98 128
 3 807079 40.3824 7168 98 128
 1 807079 44.682 7168 98 128
