Version Checksum Elapsed_time grid_size N_gangs vec_length
 2 263536 5.88458 4096 66 128
 3 263536 5.92229 4096 66 128
 1 263536 5.91233 4096 66 128
 2 263536 5.9163 4096 66 128
 3 263536 6.01375 4096 66 128
 1 263536 5.93485 4096 66 128
 2 263536 5.97672 4096 66 128
 3 263536 5.96393 4096 66 128
 1 263536 5.74664 4096 71 128
 2 263536 5.92975 4096 71 128
 3 263536 5.72326 4096 71 128
 1 263536 5.71716 4096 71 128
 2 263536 5.70267 4096 71 128
 3 263536 5.70082 4096 71 128
 1 263536 5.75305 4096 71 128
 2 263536 5.7028 4096 71 128
 3 263536 5.72775 4096 71 128
 1 263536 5.73094 4096 71 128
 2 263536 5.72576 4096 71 128
 3 263536 5.70295 4096 71 128
 1 263536 6.38308 4096 71 128
 2 263536 5.70235 4096 71 128
 3 263536 5.72179 4096 71 128
 1 263536 5.77207 4096 71 128
 2 263536 5.69771 4096 71 128
 3 263536 5.91666 4096 71 128
 1 263536 5.65672 4096 76 128
 2 263536 5.62277 4096 76 128
 3 263536 5.61039 4096 76 128
 1 263536 5.70649 4096 76 128
 2 263536 5.69155 4096 76 128
 3 263536 5.63633 4096 76 128
 1 263536 5.63997 4096 76 128
 2 263536 5.6294 4096 76 128
 3 263536 5.81533 4096 76 128
 1 263536 5.67808 4096 76 128
 2 263536 5.59932 4096 76 128
 3 263536 5.64359 4096 76 128
 1 263536 5.67611 4096 76 128
 2 263536 5.6309 4096 76 128
 3 263536 5.61531 4096 76 128
 1 263536 5.63409 4096 76 128
 2 263536 5.86078 4096 76 128
 3 263536 5.65854 4096 76 128
 1 263536 5.56241 4096 81 128
 2 263536 5.50459 4096 81 128
 3 263536 5.51654 4096 81 128
 1 263536 5.55516 4096 81 128
 2 263536 5.5117 4096 81 128
 3 263536 5.52635 4096 81 128
 1 263536 5.59299 4096 81 128
 2 263536 5.52129 4096 81 128
 3 263536 5.60963 4096 81 128
 1 263536 5.56699 4096 81 128
 2 263536 5.50877 4096 81 128
 3 263536 5.52961 4096 81 128
 1 263536 5.55759 4096 81 128
 2 263536 5.53075 4096 81 128
 3 263536 5.76571 4096 81 128
 1 263536 5.55404 4096 81 128
 2 263536 5.50847 4096 81 128
 3 263536 5.53173 4096 81 128
 1 263536 5.45248 4096 86 128
 2 263536 5.40617 4096 86 128
 3 263536 5.43576 4096 86 128
 1 263536 5.43821 4096 86 128
 2 263536 5.42571 4096 86 128
 3 263536 5.52337 4096 86 128
 1 263536 5.45272 4096 86 128
 2 263536 5.50991 4096 86 128
 3 263536 5.46557 4096 86 128
 1 263536 5.43061 4096 86 128
 2 263536 5.41986 4096 86 128
 3 263536 5.40932 4096 86 128
